order_id,order_date,ship_date,ship_mode,customer_id,product_id,qty,discount
1993,11/22/2021,11/26/2021,Standard Class,CUST-284,PD-1206,5,0.8
1994,11/22/2021,11/26/2021,Standard Class,CUST-284,PD-283,3,0.8
1995,9/25/2021,9/30/2021,Standard Class,CUST-411,PD-1530,3,0
1996,9/17/2021,9/21/2021,Standard Class,CUST-73,PD-1593,7,0.5
1997,9/17/2021,9/21/2021,Standard Class,CUST-73,PD-807,2,0.7
1998,9/17/2021,9/21/2021,Standard Class,CUST-73,PD-1096,3,0.2
1999,9/17/2021,9/21/2021,Standard Class,CUST-73,PD-56,2,0.2
2000,9/17/2021,9/21/2021,Standard Class,CUST-73,PD-836,6,0.2
2001,9/17/2021,9/21/2021,Standard Class,CUST-73,PD-187,6,0.7
2002,9/17/2021,9/21/2021,Standard Class,CUST-73,PD-634,2,0.2
2004,12/27/2021,12/31/2021,Standard Class,CUST-545,PD-1410,3,0.32
2005,12/27/2021,12/31/2021,Standard Class,CUST-545,PD-1329,3,0.3
2007,4/18/2021,4/22/2021,Standard Class,CUST-439,PD-82,6,0
2008,4/18/2021,4/22/2021,Standard Class,CUST-439,PD-724,6,0
2009,4/18/2021,4/22/2021,Standard Class,CUST-439,PD-25,2,0
2010,4/18/2021,4/22/2021,Standard Class,CUST-439,PD-1291,1,0
2011,11/24/2021,11/30/2021,Standard Class,CUST-267,PD-411,2,0
2012,11/24/2021,11/30/2021,Standard Class,CUST-267,PD-301,6,0.2
2013,11/24/2021,11/30/2021,Standard Class,CUST-267,PD-1133,3,0
2014,11/24/2021,11/30/2021,Standard Class,CUST-267,PD-862,4,0
2015,11/13/2021,11/17/2021,Standard Class,CUST-596,PD-1078,6,0.2
2016,11/13/2021,11/17/2021,Standard Class,CUST-596,PD-1100,3,0.2
2017,11/13/2021,11/17/2021,Standard Class,CUST-596,PD-571,3,0.7
2018,10/15/2021,10/20/2021,Standard Class,CUST-128,PD-1283,5,0.2
2019,12/28/2021,12/31/2021,Second Class,CUST-597,PD-960,2,0.2
2020,11/21/2021,11/23/2021,Second Class,CUST-23,PD-1185,7,0.3
2022,12/15/2021,12/19/2021,Standard Class,CUST-235,PD-202,1,0
2023,12/24/2021,12/27/2021,First Class,CUST-578,PD-153,2,0.2
2024,12/24/2021,12/27/2021,First Class,CUST-578,PD-243,6,0.2
2025,12/24/2021,12/27/2021,First Class,CUST-578,PD-739,4,0.7
2026,12/24/2021,12/27/2021,First Class,CUST-578,PD-839,4,0.2
2027,12/24/2021,12/27/2021,First Class,CUST-578,PD-1559,4,0.7
2028,12/24/2021,12/27/2021,First Class,CUST-578,PD-749,2,0.2
2029,7/30/2021,7/31/2021,First Class,CUST-403,PD-989,7,0
2030,7/30/2021,7/31/2021,First Class,CUST-403,PD-36,3,0
2031,7/30/2021,7/31/2021,First Class,CUST-403,PD-33,3,0.2
2032,9/26/2021,9/28/2021,Second Class,CUST-523,PD-2,5,0.8
2033,9/26/2021,9/28/2021,Second Class,CUST-523,PD-1458,7,0.2
2034,6/22/2021,6/26/2021,Second Class,CUST-103,PD-16,4,0
2035,12/20/2021,12/24/2021,Standard Class,CUST-502,PD-965,4,0.2
2036,6/26/2021,6/29/2021,Second Class,CUST-382,PD-889,2,0
2038,12/15/2021,12/22/2021,Standard Class,CUST-397,PD-1319,9,0
2039,12/15/2021,12/22/2021,Standard Class,CUST-397,PD-289,3,0.2
2040,1/17/2021,1/24/2021,Standard Class,CUST-225,PD-1245,7,0.6
2041,12/20/2021,12/24/2021,Standard Class,CUST-34,PD-1108,1,0
2042,12/27/2021,12/31/2021,Standard Class,CUST-500,PD-1155,2,0
2043,3/16/2021,3/22/2021,Standard Class,CUST-598,PD-147,1,0
2044,3/16/2021,3/22/2021,Standard Class,CUST-598,PD-150,3,0
2045,3/16/2021,3/22/2021,Standard Class,CUST-598,PD-744,3,0
2046,3/16/2021,3/22/2021,Standard Class,CUST-598,PD-1609,5,0
2047,3/22/2021,3/26/2021,Standard Class,CUST-599,PD-845,1,0.2
2048,3/22/2021,3/26/2021,Standard Class,CUST-599,PD-1274,2,0.2
2049,3/22/2021,3/26/2021,Standard Class,CUST-599,PD-46,9,0.8
2050,12/18/2021,12/23/2021,Standard Class,CUST-454,PD-1289,9,0.2
2051,11/15/2021,11/17/2021,Second Class,CUST-74,PD-966,9,0.2
2052,11/15/2021,11/17/2021,Second Class,CUST-74,PD-850,3,0.8
2053,11/15/2021,11/17/2021,Second Class,CUST-74,PD-65,5,0.2
2054,9/18/2021,9/22/2021,Second Class,CUST-358,PD-685,14,0
2056,9/18/2021,9/22/2021,Second Class,CUST-358,PD-171,2,0
2057,8/24/2021,8/28/2021,Standard Class,CUST-10,PD-1429,7,0.2
2058,8/24/2021,8/28/2021,Standard Class,CUST-10,PD-1217,14,0.2
2059,8/24/2021,8/28/2021,Standard Class,CUST-10,PD-1455,5,0.3
2060,8/24/2021,8/28/2021,Standard Class,CUST-10,PD-228,3,0.8
