product_id,product_name,category,sub-category, unit_price , cogs 
PD-102,Apple Watch Series 6,Wearables,Smartwatches,$399.00 ,$329.00 
PD-1029,Apple Watch SE,Wearables,Smartwatches,$279.00 ,$248.00 
PD-104,Apple Watch Series 5,Wearables,Smartwatches,$399.00 ,$369.00 
PD-1050,LG Electronics Tone+ HBS-,Technology,Phones,$35.71 ,$31.50 
PD-1052,Innergie mMini Combo Duo ,Technology,Phones,$35.99 ,$35.49 
PD-1053,AT&T 17929 Lendline Telep,Technology,Phones,$36.19 ,$35.51 
PD-1054,Memorex Mini Travel Drive,Technology,Accessories,$36.24 ,$5.44 
PD-1058,Lunatik TT5L-002 Taktik S,Technology,Phones,$36.74 ,$3.67 
PD-1059,Jensen SMPS-640 - speaker,Technology,Phones,$36.78 ,$2.21 
PD-1061,Logitech B530 USB Headset,Technology,Phones,$36.99 ,$19.60 
PD-1063,Sony Micro Vault Click 8 ,Technology,Accessories,$37.59 ,$5.64 
PD-1065,Grandstream GXP1160 VoIP ,Technology,Phones,$37.91 ,$17.44 
PD-1076,Clearsounds A400,Technology,Phones,$39.59 ,$17.82 
PD-1078,Logitech K350 2.4Ghz Wire,Technology,Accessories,$39.82 ,$16.32 
PD-1079,Microsoft Sculpt Comfort ,Technology,Accessories,$39.95 ,$19.18 
PD-1082,Kensington SlimBlade Note,Technology,Accessories,$39.99 ,$18.40 
PD-1083,Microsoft Wireless Mobile,Technology,Accessories,$39.99 ,$11.20 
PD-1087,Avaya 5410 Digital phone,Technology,Phones,$40.79 ,$6.53 
PD-1094,Panasonic KX - TS880B Tel,Technology,Phones,$41.22 ,$6.18 
PD-1097,AT&T 841000 Phone,Technology,Phones,$41.40 ,$15.73 
PD-1098,Ricoh - Ink Collector Uni,Technology,Machines,$41.95 ,$7.55 
PD-1099,netTALK DUO VoIP Telephon,Technology,Phones,$41.99 ,$12.18 
PD-1102,Plantronics MX500i Earset,Technology,Phones,$42.95 ,$6.87 
PD-1110,Plantronics Encore H101 D,Technology,Phones,$44.95 ,$19.33 
PD-1116,Dexim XPower Skin Super-T,Technology,Phones,$46.79 ,$4.68 
PD-1118,Logitech G105 Gaming Keyb,Technology,Accessories,$47.50 ,$46.31 
PD-1122,Microsoft Arc Touch Mouse,Technology,Accessories,$47.96 ,$18.70 
PD-1124,JBL Micro Wireless Portab,Technology,Phones,$47.99 ,$20.64 
PD-1125,Logitech Wireless Anywher,Technology,Accessories,$47.99 ,$24.48 
PD-1139,Belkin QODE FastFit Bluet,Technology,Accessories,$49.56 ,$26.76 
